Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,516.0mV?
Average              :,55.81mV?
Vertical pos         :,1.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.015625mV
Time interval        :,0.10000uS

index,CH1_Voltage(mV)
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,4.000000
6,0.000000
7,8.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,4.000000
13,0.000000
14,4.000000
15,0.000000
16,4.000000
17,0.000000
18,0.000000
19,4.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,4.000000
25,4.000000
26,4.000000
27,0.000000
28,0.000000
29,0.000000
30,4.000000
31,4.000000
32,4.000000
33,0.000000
34,8.000000
35,-4.000000
36,0.000000
37,-4.000000
38,4.000000
39,4.000000
40,0.000000
41,4.000000
42,4.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,4.000000
49,4.000000
50,4.000000
51,4.000000
52,8.000000
53,-8.000000
54,4.000000
55,0.000000
56,0.000000
57,-4.000000
58,0.000000
59,8.000000
60,0.000000
61,0.000000
62,4.000000
63,-4.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.000000
69,4.000000
70,0.000000
71,4.000000
72,4.000000
73,0.000000
74,4.000000
75,0.000000
76,4.000000
77,4.000000
78,0.000000
79,4.000000
80,0.000000
81,4.000000
82,0.000000
83,4.000000
84,4.000000
85,4.000000
86,4.000000
87,0.000000
88,0.000000
89,0.000000
90,0.000000
91,4.000000
92,0.000000
93,0.000000
94,4.000000
95,4.000000
96,0.000000
97,4.000000
98,4.000000
99,4.000000
100,0.000000
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,4.000000
106,4.000000
107,0.000000
108,0.000000
109,0.000000
110,0.000000
111,4.000000
112,0.000000
113,0.000000
114,4.000000
115,4.000000
116,0.000000
117,4.000000
118,0.000000
119,4.000000
120,4.000000
121,4.000000
122,4.000000
123,0.000000
124,4.000000
125,4.000000
126,4.000000
127,4.000000
128,4.000000
129,0.000000
130,4.000000
131,4.000000
132,4.000000
133,4.000000
134,4.000000
135,-4.000000
136,4.000000
137,0.000000
138,4.000000
139,4.000000
140,4.000000
141,4.000000
142,4.000000
143,4.000000
144,0.000000
145,0.000000
146,0.000000
147,4.000000
148,4.000000
149,0.000000
150,4.000000
151,4.000000
152,4.000000
153,4.000000
154,4.000000
155,0.000000
156,4.000000
157,0.000000
158,4.000000
159,4.000000
160,0.000000
161,0.000000
162,4.000000
163,4.000000
164,0.000000
165,0.000000
166,4.000000
167,0.000000
168,0.000000
169,4.000000
170,4.000000
171,4.000000
172,4.000000
173,0.000000
174,4.000000
175,0.000000
176,4.000000
177,4.000000
178,0.000000
179,4.000000
180,-4.000000
181,4.000000
182,0.000000
183,4.000000
184,0.000000
185,4.000000
186,4.000000
187,4.000000
188,4.000000
189,0.000000
190,0.000000
191,4.000000
192,4.000000
193,4.000000
194,4.000000
195,0.000000
196,0.000000
197,4.000000
198,0.000000
199,4.000000
200,0.000000
201,0.000000
202,0.000000
203,4.000000
204,0.000000
205,4.000000
206,4.000000
207,4.000000
208,4.000000
209,0.000000
210,4.000000
211,0.000000
212,0.000000
213,0.000000
214,4.000000
215,4.000000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
220,0.000000
221,4.000000
222,0.000000
223,4.000000
224,0.000000
225,0.000000
226,0.000000
227,0.000000
228,4.000000
229,0.000000
230,0.000000
231,4.000000
232,0.000000
233,4.000000
234,8.000000
235,4.000000
236,0.000000
237,0.000000
238,0.000000
239,0.000000
240,4.000000
241,0.000000
242,4.000000
243,4.000000
244,0.000000
245,0.000000
246,4.000000
247,0.000000
248,0.000000
249,0.000000
250,4.000000
251,4.000000
252,4.000000
253,0.000000
254,0.000000
255,0.000000
256,0.000000
257,-4.000000
258,0.000000
259,0.000000
260,4.000000
261,0.000000
262,4.000000
263,0.000000
264,0.000000
265,0.000000
266,4.000000
267,0.000000
268,0.000000
269,4.000000
270,4.000000
271,4.000000
272,0.000000
273,0.000000
274,0.000000
275,0.000000
276,4.000000
277,0.000000
278,4.000000
279,4.000000
280,0.000000
281,4.000000
282,0.000000
283,4.000000
284,0.000000
285,0.000000
286,4.000000
287,0.000000
288,4.000000
289,0.000000
290,0.000000
291,0.000000
292,4.000000
293,0.000000
294,0.000000
295,4.000000
296,0.000000
297,0.000000
298,4.000000
299,0.000000
300,0.000000
301,0.000000
302,4.000000
303,0.000000
304,0.000000
305,0.000000
306,0.000000
307,4.000000
308,0.000000
309,0.000000
310,0.000000
311,0.000000
312,0.000000
313,0.000000
314,4.000000
315,4.000000
316,0.000000
317,4.000000
318,-4.000000
319,-4.000000
320,4.000000
321,0.000000
322,4.000000
323,0.000000
324,0.000000
325,4.000000
326,0.000000
327,0.000000
328,4.000000
329,-4.000000
330,4.000000
331,4.000000
332,0.000000
333,0.000000
334,0.000000
335,4.000000
336,0.000000
337,0.000000
338,16.000000
339,-8.000000
340,0.000000
341,4.000000
342,4.000000
343,4.000000
344,-4.000000
345,0.000000
346,4.000000
347,-4.000000
348,0.000000
349,4.000000
350,0.000000
351,4.000000
352,0.000000
353,4.000000
354,4.000000
355,0.000000
356,0.000000
357,0.000000
358,4.000000
359,8.000000
360,4.000000
361,4.000000
362,4.000000
363,4.000000
364,0.000000
365,0.000000
366,4.000000
367,0.000000
368,0.000000
369,0.000000
370,0.000000
371,4.000000
372,0.000000
373,4.000000
374,0.000000
375,0.000000
376,0.000000
377,0.000000
378,4.000000
379,4.000000
380,4.000000
381,0.000000
382,4.000000
383,0.000000
384,0.000000
385,0.000000
386,0.000000
387,4.000000
388,4.000000
389,0.000000
390,4.000000
391,0.000000
392,0.000000
393,4.000000
394,4.000000
395,4.000000
396,4.000000
397,0.000000
398,0.000000
399,0.000000
400,0.000000
401,0.000000
402,4.000000
403,4.000000
404,0.000000
405,4.000000
406,0.000000
407,0.000000
408,0.000000
409,0.000000
410,0.000000
411,4.000000
412,0.000000
413,4.000000
414,4.000000
415,4.000000
416,4.000000
417,0.000000
418,0.000000
419,0.000000
420,0.000000
421,0.000000
422,0.000000
423,0.000000
424,0.000000
425,0.000000
426,0.000000
427,4.000000
428,0.000000
429,0.000000
430,8.000000
431,0.000000
432,0.000000
433,0.000000
434,0.000000
435,0.000000
436,0.000000
437,4.000000
438,0.000000
439,8.000000
440,0.000000
441,8.000000
442,0.000000
443,0.000000
444,0.000000
445,0.000000
446,4.000000
447,0.000000
448,0.000000
449,0.000000
450,4.000000
451,4.000000
452,0.000000
453,0.000000
454,0.000000
455,0.000000
456,4.000000
457,0.000000
458,0.000000
459,4.000000
460,4.000000
461,4.000000
462,4.000000
463,0.000000
464,0.000000
465,4.000000
466,4.000000
467,4.000000
468,0.000000
469,4.000000
470,4.000000
471,0.000000
472,4.000000
473,0.000000
474,4.000000
475,4.000000
476,4.000000
477,0.000000
478,0.000000
479,4.000000
480,4.000000
481,4.000000
482,4.000000
483,0.000000
484,0.000000
485,0.000000
486,0.000000
487,4.000000
488,0.000000
489,4.000000
490,0.000000
491,4.000000
492,4.000000
493,0.000000
494,4.000000
495,4.000000
496,0.000000
497,4.000000
498,0.000000
499,0.000000
500,0.000000
501,0.000000
502,4.000000
503,4.000000
504,0.000000
505,4.000000
506,0.000000
507,4.000000
508,-4.000000
509,-4.000000
510,4.000000
511,4.000000
512,4.000000
513,0.000000
514,4.000000
515,4.000000
516,4.000000
517,0.000000
518,0.000000
519,0.000000
520,0.000000
521,0.000000
522,0.000000
523,4.000000
524,0.000000
525,0.000000
526,4.000000
527,4.000000
528,0.000000
529,0.000000
530,4.000000
531,4.000000
532,4.000000
533,4.000000
534,0.000000
535,0.000000
536,4.000000
537,0.000000
538,4.000000
539,4.000000
540,0.000000
541,0.000000
542,0.000000
543,0.000000
544,4.000000
545,0.000000
546,0.000000
547,4.000000
548,-4.000000
549,4.000000
550,4.000000
551,0.000000
552,0.000000
553,0.000000
554,0.000000
555,4.000000
556,4.000000
557,0.000000
558,4.000000
559,4.000000
560,0.000000
561,4.000000
562,0.000000
563,0.000000
564,0.000000
565,0.000000
566,8.000000
567,0.000000
568,4.000000
569,-4.000000
570,0.000000
571,0.000000
572,4.000000
573,4.000000
574,4.000000
575,4.000000
576,4.000000
577,0.000000
578,0.000000
579,4.000000
580,0.000000
581,4.000000
582,4.000000
583,4.000000
584,0.000000
585,4.000000
586,0.000000
587,0.000000
588,0.000000
589,4.000000
590,4.000000
591,4.000000
592,4.000000
593,-4.000000
594,8.000000
595,8.000000
596,4.000000
597,4.000000
598,0.000000
599,4.000000
600,0.000000
601,4.000000
602,4.000000
603,4.000000
604,4.000000
605,-8.000000
606,4.000000
607,4.000000
608,0.000000
609,0.000000
610,0.000000
611,8.000000
612,4.000000
613,0.000000
614,4.000000
615,4.000000
616,0.000000
617,4.000000
618,0.000000
619,4.000000
620,0.000000
621,0.000000
622,4.000000
623,4.000000
624,12.000000
625,4.000000
626,-4.000000
627,4.000000
628,4.000000
629,8.000000
630,0.000000
631,4.000000
632,4.000000
633,0.000000
634,4.000000
635,0.000000
636,0.000000
637,0.000000
638,4.000000
639,4.000000
640,0.000000
641,0.000000
642,0.000000
643,0.000000
644,-4.000000
645,4.000000
646,0.000000
647,4.000000
